AverageOfP2O5,AverageOfCaO,AverageOfTotalSolids_TS,AverageOf +0.150mm ,AverageOf +1mm%,Average of Al2O3,Average of MgO,Average of Fe2O3,Average of SiO2,R.Average of P2O52,R.Average of Solids,R.Average of SO4,production ,input,recovery
25.12684211,50.13894737,55.95631579,49.71833333,3.261666667,0.685263158,0.146842105,0.128421053,6.091578947,26.185,25.62166667,2.058333333,3334.665125,3936.75071,0.847060271
26.22705882,50.96294118,56.76941176,55.805,1.578,0.432941176,0.152352941,0.087647059,4.821176471,25.19666667,26.60833333,2.598333333,3342.553876,3721.715587,0.898121793
26.58166667,50.85277778,56.70722222,59.12083333,2.3025,0.286111111,0.150555556,0.072222222,5.273888889,25.50333333,29.68666667,3.453333333,3470.847246,3798.964793,0.913629748
26.12473684,49.70526316,57.89947368,57.4375,2.146666667,0.273684211,0.153684211,0.074736842,7.292105263,25.63333333,28.22,2.516666667,3343.535113,3710.567498,0.901084568
26.57722222,49.29222222,60.54333333,54.28083333,1.5425,0.298333333,0.152777778,0.09,8.116111111,26.22333333,27.87666667,2.848333333,3476.06289,3882.235642,0.895376585
27.65111111,50.44944444,58.89388889,57.06166667,2.215,0.278888889,0.146666667,0.077777778,6.022777778,25.78666667,29.66166667,2.478333333,3507.477847,3923.42355,0.893983992
27.01,50.01230769,56.58615385,48.36285714,0.82,0.312307692,0.153846154,0.1,6.529230769,24.55333333,28.11,2.455,2693.863064,2970.409214,0.906899646
26.596875,50.061875,58.214375,52.875,1.465,0.31625,0.156875,0.084375,6.800625,25.72166667,30.11166667,3.501666667,4216.209529,4650.002833,0.906711174
26.49263158,49.44947368,55.77105263,53.6125,0.965833333,0.337368421,0.144736842,0.096842105,7.928947368,26.54,28.57333333,1.726666667,4095.31565,4614.026192,0.887579628
26.45,49.41133333,57.048,54.209,1.262,0.572,0.155333333,0.121333333,7.39,26.61166667,26.49,3.085,3476.518674,3833.439731,0.906892743
26.61473684,49.54631579,55.46473684,49.62166667,0.839166667,0.509473684,0.154736842,0.117894737,7.114210526,27.54833333,27.93,2.95,4082.213711,4544.379685,0.898299437
